id,custom_label_0
103236,Zombie
105457,Fix-Me
103623,Zombie
103620,Zombie
101216,Zombie
100216,Zombie
100324,Zombie
100051,Sidekick
103867,Zombie
101185,Hero
104492,Zombie
101064,Sidekick
103703,Zombie
101090,Zombie
105408,Fix-Me
104978,Villain
105511,Fix-Me
104131,Sidekick
101136,Zombie
100383,Villain
103757,Newborn
103319,Fix-Me
105290,Villain
103811,Zombie
101013,Zombie
100767,Villain
103297,Sidekick
104732,Zombie
103274,Fix-Me
102501,Sidekick
105384,Sidekick
100760,Sidekick
102918,Fix-Me
100027,Zombie
101728,Zombie
104972,Zombie
103307,Zombie
101647,Sidekick
105431,Fix-Me
105253,Zombie
100108,Zombie
103648,Zombie
100692,Zombie
104555,Villain
105672,Newborn
103473,Sidekick
104855,Zombie
100253,Zombie
100359,Zombie
101212,Hero
103664,Zombie
104427,Villain
104762,Hero
104745,Newborn
105365,Zombie
103639,Zombie
100200,Zombie
105025,Zombie
105548,Zombie
100382,Villain
100221,Zombie
102875,Villain
100807,Hero
104004,Zombie
100757,Sidekick
101832,Villain
104057,Zombie
104936,Zombie
104803,Zombie
103780,Zombie
104485,Zombie
103761,Zombie
100025,Sidekick
102902,Zombie
102504,Fix-Me
105286,Zombie
100176,Zombie
100106,Zombie
103298,Fix-Me
105526,Hero
102453,Sidekick
104827,Fix-Me
104800,Newborn
100316,Newborn
100202,Newborn
105403,Sidekick
100190,Zombie
103785,Fix-Me
101479,Fix-Me
104474,Zombie
100366,Zombie
105486,Sidekick
103371,Fix-Me
103462,Zombie
100353,Zombie
103171,Zombie
100419,Sidekick
103338,Zombie
102835,Zombie
104774,Zombie
103719,Zombie
101313,Hero
103707,Zombie
100999,Sidekick
101464,Fix-Me
100714,Zombie
105427,Villain
100781,Fix-Me
100160,Zombie
100394,Zombie
103223,Fix-Me
100363,Zombie
103284,Fix-Me
101644,Zombie
104401,Fix-Me
100147,Zombie
102847,Sidekick
103805,Zombie
103663,Zombie
100849,Fix-Me
102493,Fix-Me
100802,Villain
102437,Zombie
101107,Zombie
101098,Fix-Me
103299,Villain
100723,Zombie
104986,Fix-Me
101121,Zombie
101671,Newborn
104467,Sidekick
101687,Sidekick
100206,Zombie
105364,Sidekick
102851,Sidekick
101170,Hero
102563,Hero
100201,Zombie
102857,Zombie
100314,Zombie
100250,Zombie
103642,Zombie
103123,Fix-Me
105150,Fix-Me
105594,Zombie
100082,Villain
105249,Sidekick
102554,Fix-Me
105323,Sidekick
102889,Zombie
101701,Zombie
103619,Zombie
103146,Zombie
103600,Fix-Me
105351,Zombie
101672,Zombie
101115,Zombie
104982,Fix-Me
103644,Zombie
102552,Hero
103239,Zombie
105628,Fix-Me
103991,Zombie
105520,Sidekick
103953,Villain
100078,Sidekick
104952,Zombie
101224,Fix-Me
104434,Hero
100987,Zombie
101762,Zombie
102922,Fix-Me
102870,Sidekick
104678,Villain
102862,Sidekick
101049,Zombie
104960,Zombie
104564,Zombie
100377,Villain
101694,Zombie
103654,Zombie
100125,Zombie
101040,Zombie
100770,Fix-Me
104043,Newborn
105401,Hero
103468,Zombie
103601,Fix-Me
105291,Zombie
105018,Zombie
100120,Zombie
101223,Fix-Me
102435,Zombie
100247,Zombie
102527,Fix-Me
105644,Fix-Me
101802,Sidekick
101130,Zombie
101678,Hero
100014,Sidekick
105559,Zombie
103467,Zombie
100392,Zombie
100046,Zombie
101101,Zombie
101448,Fix-Me
103114,Zombie
101124,Zombie
103166,Zombie
102512,Sidekick
101220,Sidekick
104640,Fix-Me
101048,Zombie
101426,Hero
100766,Fix-Me
100296,Zombie
105513,Sidekick
103831,Fix-Me
105040,Fix-Me
101768,Hero
103808,Zombie
100351,Zombie
104707,Fix-Me
100099,Zombie
102864,Hero
105059,Zombie
103970,Villain
102573,Sidekick
101423,Fix-Me
104535,Sidekick
105061,Zombie
103532,Fix-Me
102916,Fix-Me
103916,Sidekick
104551,Fix-Me
105137,Fix-Me
104716,Sidekick
105532,Zombie
105379,Fix-Me
101126,Sidekick
100177,Zombie
100342,Zombie
103913,Fix-Me
105087,Zombie
105332,Fix-Me
104084,Zombie
104560,Sidekick
100198,Zombie
104856,Zombie
100776,Fix-Me
105123,Zombie
105011,Zombie
100985,Sidekick
100346,Zombie
102815,Zombie
103816,Zombie
104342,Hero
102619,Fix-Me
100739,Zombie
104500,Sidekick
101178,Villain
103818,Zombie
101478,Fix-Me
101560,Hero
100263,Zombie
104561,Fix-Me
100098,Zombie
100681,Zombie
100368,Zombie
100037,Zombie
105560,Zombie
105390,Fix-Me
104858,Zombie
104552,Villain
105397,Zombie
104816,Zombie
100705,Zombie
102559,Fix-Me
101751,Zombie
105279,Zombie
100783,Fix-Me
101004,Zombie
100397,Sidekick
104660,Hero
102868,Fix-Me
105252,Fix-Me
102867,Zombie
104625,Zombie
101100,Zombie
104893,Zombie
105145,Fix-Me
105233,Sidekick
103754,Sidekick
101175,Hero
103625,Zombie
103457,Fix-Me
100126,Zombie
100081,Villain
104881,Zombie
102482,Fix-Me
105530,Zombie
105001,Zombie
105645,Fix-Me
104101,Zombie
104123,Zombie
104753,Newborn
105207,Zombie
105536,Zombie
103882,Fix-Me
100248,Zombie
105361,Hero
101468,Fix-Me
105349,Hero
105676,Newborn
105546,Zombie
100257,Zombie
104804,Zombie
103278,Zombie
103292,Villain
104664,Zombie
100827,Villain
104679,Villain
100388,Fix-Me
105266,Fix-Me
104573,Fix-Me
105381,Fix-Me
103699,Zombie
105535,Zombie
104692,Zombie
101567,Villain
100759,Fix-Me
103827,Zombie
103821,Zombie
105646,Fix-Me
104475,Sidekick
105296,Zombie
105214,Zombie
105021,Zombie
100271,Newborn
104659,Fix-Me
100040,Sidekick
100315,Zombie
102905,Sidekick
101679,Zombie
100292,Zombie
103759,Fix-Me
102463,Fix-Me
100312,Zombie
102544,Sidekick
104012,Fix-Me
103196,Zombie
101482,Sidekick
104082,Hero
101443,Villain
101533,Villain
103665,Zombie
101104,Zombie
104740,Zombie
100390,Zombie
104990,Fix-Me
102438,Zombie
105057,Fix-Me
101661,Zombie
100447,Hero
105472,Zombie
103716,Zombie
103346,Fix-Me
105414,Sidekick
104947,Fix-Me
104047,Zombie
103624,Zombie
100267,Zombie
104418,Zombie
100293,Zombie
101294,Villain
104967,Fix-Me
101653,Fix-Me
103112,Fix-Me
103581,Zombie
100677,Zombie
100307,Newborn
105503,Villain
101483,Fix-Me
104094,Fix-Me
105593,Fix-Me
101102,Zombie
105208,Zombie
102515,Sidekick
100252,Zombie
105670,Villain
100355,Newborn
104298,Hero
100704,Sidekick
103306,Zombie
